"quarter","patron_community","n_tickets","cumulative_tickets"
2018 Q3,"HSPH",18,299
2018 Q4,"HSPH",15,314
2019 Q1,"HSPH",24,338
2019 Q2,"HSPH",30,368
2012 Q1,"HKS",8,8
2012 Q2,"HKS",13,21
2012 Q3,"HKS",2,23
2012 Q4,"HKS",3,26
2013 Q1,"HKS",8,34
2013 Q2,"HKS",8,42
2013 Q3,"HKS",4,46
2013 Q4,"HKS",5,51
2014 Q1,"HKS",16,67
2014 Q2,"HKS",9,76
2014 Q3,"HKS",10,86
2014 Q4,"HKS",7,93
2015 Q1,"HKS",11,104
2015 Q2,"HKS",12,116
2015 Q3,"HKS",5,121
2015 Q4,"HKS",10,131
2016 Q1,"HKS",16,147
2016 Q2,"HKS",5,152
2016 Q3,"HKS",6,158
2016 Q4,"HKS",3,161
2017 Q1,"HKS",10,171
2017 Q2,"HKS",5,176
2017 Q3,"HKS",15,191
2017 Q4,"HKS",6,197
2018 Q1,"HKS",5,202
2018 Q2,"HKS",11,213
2018 Q3,"HKS",19,232
2018 Q4,"HKS",12,244
2019 Q1,"HKS",18,262
2019 Q2,"HKS",13,275
2011 Q4,"Psychology",1,1
2012 Q1,"Psychology",1,2
2012 Q2,"Psychology",12,14
2012 Q3,"Psychology",13,27
2012 Q4,"Psychology",12,39
2013 Q1,"Psychology",8,47
2013 Q2,"Psychology",22,69
2013 Q3,"Psychology",19,88
2013 Q4,"Psychology",18,106
2014 Q1,"Psychology",16,122
2014 Q2,"Psychology",17,139
2014 Q3,"Psychology",15,154
2014 Q4,"Psychology",12,166
2015 Q1,"Psychology",19,185
2015 Q2,"Psychology",15,200
2015 Q3,"Psychology",13,213
2015 Q4,"Psychology",15,228
2016 Q1,"Psychology",20,248
2016 Q2,"Psychology",26,274
2016 Q3,"Psychology",20,294
2016 Q4,"Psychology",19,313
2017 Q1,"Psychology",19,332
2017 Q2,"Psychology",30,362
2017 Q3,"Psychology",17,379
2017 Q4,"Psychology",10,389
2018 Q1,"Psychology",25,414
2018 Q2,"Psychology",18,432
2018 Q3,"Psychology",20,452
2018 Q4,"Psychology",18,470
2019 Q1,"Psychology",19,489
2019 Q2,"Psychology",16,505
2011 Q4,"Sociology",3,3
2012 Q1,"Sociology",9,12
2012 Q2,"Sociology",9,21
2012 Q3,"Sociology",5,26
2012 Q4,"Sociology",10,36
2013 Q1,"Sociology",12,48
2013 Q2,"Sociology",4,52
2013 Q3,"Sociology",9,61
2013 Q4,"Sociology",12,73
2014 Q1,"Sociology",17,90
2014 Q2,"Sociology",9,99
2014 Q3,"Sociology",9,108
2014 Q4,"Sociology",14,122
2015 Q1,"Sociology",17,139
2015 Q2,"Sociology",7,146
2015 Q3,"Sociology",12,158
2015 Q4,"Sociology",15,173
2016 Q1,"Sociology",27,200
2016 Q2,"Sociology",14,214
2016 Q3,"Sociology",13,227
2016 Q4,"Sociology",7,234
2017 Q1,"Sociology",9,243
2017 Q2,"Sociology",12,255
2017 Q3,"Sociology",12,267
2017 Q4,"Sociology",7,274
2018 Q1,"Sociology",8,282
2018 Q2,"Sociology",8,290
2018 Q3,"Sociology",15,305
2018 Q4,"Sociology",11,316
2019 Q1,"Sociology",11,327
2019 Q2,"Sociology",12,339
