"Group.1","Group.2","x","timeWorked","cumTimeWorked","cumTickets","quarter","date","patron_community","ticket_id"
"151524","Economics",2013-01-24,2.5,101.5,27,2013 Q1,2013-01-24,"Economics","151524"
"154158","Economics",2013-02-27,1.5,103,28,2013 Q1,2013-02-27,"Economics","154158"
"154391","Economics",2013-03-11,3,106,29,2013 Q1,2013-03-11,"Economics","154391"
"156465","Economics",2013-04-01,0.5,106.5,30,2013 Q2,2013-04-01,"Economics","156465"
"157067","Economics",2013-04-10,0.0833333333333333,106.583333333333,31,2013 Q2,2013-04-10,"Economics","157067"
"157254","Economics",2013-04-16,0.333333333333333,106.916666666667,32,2013 Q2,2013-04-16,"Economics","157254"
"156403","Economics",2013-04-30,2,108.916666666667,33,2013 Q2,2013-04-30,"Economics","156403"
"157998","Economics",2013-04-30,0.5,109.416666666667,34,2013 Q2,2013-04-30,"Economics","157998"
"159457","Economics",2013-05-31,1.5,110.916666666667,35,2013 Q2,2013-05-31,"Economics","159457"
"161712","Economics",2013-07-01,1.25,112.166666666667,36,2013 Q3,2013-07-01,"Economics","161712"
"165296","Economics",2013-08-22,0.166666666666667,112.333333333333,37,2013 Q3,2013-08-22,"Economics","165296"
"165436","Economics",2013-08-26,5,117.333333333333,38,2013 Q3,2013-08-26,"Economics","165436"
"165772","Economics",2013-09-04,4,121.333333333333,39,2013 Q3,2013-09-04,"Economics","165772"
"165916","Economics",2013-09-04,2,123.333333333333,40,2013 Q3,2013-09-04,"Economics","165916"
"167055","Economics",2013-09-17,0.5,123.833333333333,41,2013 Q3,2013-09-17,"Economics","167055"
"167234","Economics",2013-09-19,0.0833333333333333,123.916666666667,42,2013 Q3,2013-09-19,"Economics","167234"
"168842","Economics",2013-10-17,0.5,124.416666666667,43,2013 Q4,2013-10-17,"Economics","168842"
"169378","Economics",2013-10-28,1,125.416666666667,44,2013 Q4,2013-10-28,"Economics","169378"
"169653","Economics",2013-11-01,0.25,125.666666666667,45,2013 Q4,2013-11-01,"Economics","169653"
"169939","Economics",2013-11-06,3.33333333333333,129,46,2013 Q4,2013-11-06,"Economics","169939"
"169968","Economics",2013-11-14,6.33333333333333,135.333333333333,47,2013 Q4,2013-11-14,"Economics","169968"
"170328","Economics",2013-11-18,0.25,135.583333333333,48,2013 Q4,2013-11-18,"Economics","170328"
"171105","Economics",2013-12-06,5,140.583333333333,49,2013 Q4,2013-12-06,"Economics","171105"
"171381","Economics",2013-12-06,0.333333333333333,140.916666666667,50,2013 Q4,2013-12-06,"Economics","171381"
"172940","Economics",2014-01-21,0.5,141.416666666667,51,2014 Q1,2014-01-21,"Economics","172940"
"173398","Economics",2014-01-28,0.25,141.666666666667,52,2014 Q1,2014-01-28,"Economics","173398"
"172962","Economics",2014-01-30,4,145.666666666667,53,2014 Q1,2014-01-30,"Economics","172962"
"174084","Economics",2014-02-07,0.5,146.166666666667,54,2014 Q1,2014-02-07,"Economics","174084"
"174324","Economics",2014-02-12,3,149.166666666667,55,2014 Q1,2014-02-12,"Economics","174324"
"175460","Economics",2014-03-06,11.5833333333333,160.75,56,2014 Q1,2014-03-06,"Economics","175460"
"175559","Economics",2014-03-11,1,161.75,57,2014 Q1,2014-03-11,"Economics","175559"
"179072","Economics",2014-05-20,1,162.75,58,2014 Q2,2014-05-20,"Economics","179072"
"179366","Economics",2014-05-28,1.5,164.25,59,2014 Q2,2014-05-28,"Economics","179366"
"179314","Economics",2014-05-30,1.25,165.5,60,2014 Q2,2014-05-30,"Economics","179314"
"179705","Economics",2014-06-03,2,167.5,61,2014 Q2,2014-06-03,"Economics","179705"
"180414","Economics",2014-06-17,0.166666666666667,167.666666666667,62,2014 Q2,2014-06-17,"Economics","180414"
"180403","Economics",2014-06-19,1,168.666666666667,63,2014 Q2,2014-06-19,"Economics","180403"
"181104","Economics",2014-07-02,0.25,168.916666666667,64,2014 Q3,2014-07-02,"Economics","181104"
"181872","Economics",2014-07-17,3,171.916666666667,65,2014 Q3,2014-07-17,"Economics","181872"
"182649","Economics",2014-08-04,1,172.916666666667,66,2014 Q3,2014-08-04,"Economics","182649"
"183360","Economics",2014-08-15,3,175.916666666667,67,2014 Q3,2014-08-15,"Economics","183360"
"184557","Economics",2014-09-10,3,178.916666666667,68,2014 Q3,2014-09-10,"Economics","184557"
"184904","Economics",2014-09-11,1,179.916666666667,69,2014 Q3,2014-09-11,"Economics","184904"
"186509","Economics",2014-10-02,0.166666666666667,180.083333333333,70,2014 Q4,2014-10-02,"Economics","186509"
"186818","Economics",2014-10-08,5,185.083333333333,71,2014 Q4,2014-10-08,"Economics","186818"
"187284","Economics",2014-10-17,0.5,185.583333333333,72,2014 Q4,2014-10-17,"Economics","187284"
"185984","Economics",2014-10-24,3.83333333333333,189.416666666667,73,2014 Q4,2014-10-24,"Economics","185984"
"192183","Economics",2015-01-26,1,190.416666666667,74,2015 Q1,2015-01-26,"Economics","192183"
"187793","Economics",2015-03-03,1,191.416666666667,75,2015 Q1,2015-03-03,"Economics","187793"
"194372","Economics",2015-03-11,3,194.416666666667,76,2015 Q1,2015-03-11,"Economics","194372"
"194380","Economics",2015-03-16,3,197.416666666667,77,2015 Q1,2015-03-16,"Economics","194380"
"194894","Economics",2015-03-25,4,201.416666666667,78,2015 Q1,2015-03-25,"Economics","194894"
"194756","Economics",2015-03-30,0.5,201.916666666667,79,2015 Q1,2015-03-30,"Economics","194756"
"194888","Economics",2015-03-30,0.5,202.416666666667,80,2015 Q1,2015-03-30,"Economics","194888"
"195308","Economics",2015-03-30,0.25,202.666666666667,81,2015 Q1,2015-03-30,"Economics","195308"
"195806","Economics",2015-04-08,2,204.666666666667,82,2015 Q2,2015-04-08,"Economics","195806"
"215084","Economics",2015-04-27,0.25,204.916666666667,83,2015 Q2,2015-04-27,"Economics","215084"
"216484","Economics",2015-05-29,0.5,205.416666666667,84,2015 Q2,2015-05-29,"Economics","216484"
"196750","Economics",2015-05-30,0.0833333333333333,205.5,85,2015 Q2,2015-05-30,"Economics","196750"
"217283","Economics",2015-06-09,0.166666666666667,205.666666666667,86,2015 Q2,2015-06-09,"Economics","217283"
"217880","Economics",2015-07-31,0.5,206.166666666667,87,2015 Q3,2015-07-31,"Economics","217880"
"218761","Economics",2015-07-31,0.25,206.416666666667,88,2015 Q3,2015-07-31,"Economics","218761"
"218944","Economics",2015-07-31,4,210.416666666667,89,2015 Q3,2015-07-31,"Economics","218944"
"224761","Economics",2015-07-31,1,211.416666666667,90,2015 Q3,2015-07-31,"Economics","224761"
"225018","Economics",2015-07-31,0.5,211.916666666667,91,2015 Q3,2015-07-31,"Economics","225018"
"226855","Economics",2015-09-30,1,212.916666666667,92,2015 Q3,2015-09-30,"Economics","226855"
"229185","Economics",2015-11-05,0.166666666666667,213.083333333333,93,2015 Q4,2015-11-05,"Economics","229185"
"229404","Economics",2015-11-12,0.333333333333333,213.416666666667,94,2015 Q4,2015-11-12,"Economics","229404"
"228628","Economics",2015-11-16,2,215.416666666667,95,2015 Q4,2015-11-16,"Economics","228628"
"229433","Economics",2015-12-02,3,218.416666666667,96,2015 Q4,2015-12-02,"Economics","229433"
"230909","Economics",2016-01-06,1,219.416666666667,97,2016 Q1,2016-01-06,"Economics","230909"
"232615","Economics",2016-02-24,0.75,220.166666666667,98,2016 Q1,2016-02-24,"Economics","232615"
"233045","Economics",2016-02-26,2,222.166666666667,99,2016 Q1,2016-02-26,"Economics","233045"
"233024","Economics",2016-02-27,3,225.166666666667,100,2016 Q1,2016-02-27,"Economics","233024"
"232969","Economics",2016-02-28,0.5,225.666666666667,101,2016 Q1,2016-02-28,"Economics","232969"
"232830","Economics",2016-02-29,0.25,225.916666666667,102,2016 Q1,2016-02-29,"Economics","232830"
"234027","Economics",2016-03-29,0.666666666666667,226.583333333333,103,2016 Q1,2016-03-29,"Economics","234027"
"235008","Economics",2016-05-27,1,227.583333333333,104,2016 Q2,2016-05-27,"Economics","235008"
"239212","Economics",2016-08-02,0.666666666666667,228.25,105,2016 Q3,2016-08-02,"Economics","239212"
"239792","Economics",2016-08-17,0.333333333333333,228.583333333333,106,2016 Q3,2016-08-17,"Economics","239792"
"240146","Economics",2016-08-24,1,229.583333333333,107,2016 Q3,2016-08-24,"Economics","240146"
"241646","Economics",2016-09-27,0.5,230.083333333333,108,2016 Q3,2016-09-27,"Economics","241646"
"240483","Economics",2016-09-30,1,231.083333333333,109,2016 Q3,2016-09-30,"Economics","240483"
"242849","Economics",2016-10-25,0.166666666666667,231.25,110,2016 Q4,2016-10-25,"Economics","242849"
"243365","Economics",2016-11-07,2,233.25,111,2016 Q4,2016-11-07,"Economics","243365"
"243431","Economics",2016-11-10,1.5,234.75,112,2016 Q4,2016-11-10,"Economics","243431"
"243489","Economics",2016-11-14,7.5,242.25,113,2016 Q4,2016-11-14,"Economics","243489"
"243549","Economics",2016-11-14,1.5,243.75,114,2016 Q4,2016-11-14,"Economics","243549"
"244201","Economics",2016-12-01,0.5,244.25,115,2016 Q4,2016-12-01,"Economics","244201"
"245368","Economics",2017-01-20,2.83333333333333,247.083333333333,116,2017 Q1,2017-01-20,"Economics","245368"
"246446","Economics",2017-02-10,1,248.083333333333,117,2017 Q1,2017-02-10,"Economics","246446"
"247304","Economics",2017-03-06,0.166666666666667,248.25,118,2017 Q1,2017-03-06,"Economics","247304"
"247366","Economics",2017-03-08,1,249.25,119,2017 Q1,2017-03-08,"Economics","247366"
"248624","Economics",2017-04-17,0.333333333333333,249.583333333333,120,2017 Q2,2017-04-17,"Economics","248624"
"248986","Economics",2017-04-27,0.0833333333333333,249.666666666667,121,2017 Q2,2017-04-27,"Economics","248986"
"249033","Economics",2017-04-27,0.333333333333333,250,122,2017 Q2,2017-04-27,"Economics","249033"
"249665","Economics",2017-05-24,0.5,250.5,123,2017 Q2,2017-05-24,"Economics","249665"
"249166","Economics",2017-05-31,1.5,252,124,2017 Q2,2017-05-31,"Economics","249166"
"250187","Economics",2017-06-12,0.0833333333333333,252.083333333333,125,2017 Q2,2017-06-12,"Economics","250187"
"250188","Economics",2017-06-12,0.5,252.583333333333,126,2017 Q2,2017-06-12,"Economics","250188"
"250227","Economics",2017-06-30,12,264.583333333333,127,2017 Q2,2017-06-30,"Economics","250227"
"251203","Economics",2017-07-12,0.333333333333333,264.916666666667,128,2017 Q3,2017-07-12,"Economics","251203"
"253059","Economics",2017-09-11,0.25,265.166666666667,129,2017 Q3,2017-09-11,"Economics","253059"
"253423","Economics",2017-09-21,1.5,266.666666666667,130,2017 Q3,2017-09-21,"Economics","253423"
"253466","Economics",2017-09-21,0.0833333333333333,266.75,131,2017 Q3,2017-09-21,"Economics","253466"
"253669","Economics",2017-12-21,2,268.75,132,2017 Q4,2017-12-21,"Economics","253669"
"256893","Economics",2018-02-28,3,271.75,133,2018 Q1,2018-02-28,"Economics","256893"
"257751","Economics",2018-02-28,0.5,272.25,134,2018 Q1,2018-02-28,"Economics","257751"
"257774","Economics",2018-02-28,0.5,272.75,135,2018 Q1,2018-02-28,"Economics","257774"
"258894","Economics",2018-02-28,1.33333333333333,274.083333333333,136,2018 Q1,2018-02-28,"Economics","258894"
"259364","Economics",2018-03-16,1.5,275.583333333333,137,2018 Q1,2018-03-16,"Economics","259364"
"259039","Economics",2018-03-30,1.5,277.083333333333,138,2018 Q1,2018-03-30,"Economics","259039"
"259683","Economics",2018-03-30,1,278.083333333333,139,2018 Q1,2018-03-30,"Economics","259683"
"261596","Economics",2018-05-03,0.983333333333333,279.066666666667,140,2018 Q2,2018-05-03,"Economics","261596"
"261467","Economics",2018-05-14,0.5,279.566666666667,141,2018 Q2,2018-05-14,"Economics","261467"
"261822","Economics",2018-05-14,1.41666666666667,280.983333333333,142,2018 Q2,2018-05-14,"Economics","261822"
"262450","Economics",2018-05-29,0.5,281.483333333333,143,2018 Q2,2018-05-29,"Economics","262450"
"262531","Economics",2018-06-01,0.15,281.633333333333,144,2018 Q2,2018-06-01,"Economics","262531"
"260656","Economics",2018-06-29,0.5,282.133333333333,145,2018 Q2,2018-06-29,"Economics","260656"
"264825","Economics",2018-07-25,0.166666666666667,282.3,146,2018 Q3,2018-07-25,"Economics","264825"
"265424","Economics",2018-08-07,0.166666666666667,282.466666666667,147,2018 Q3,2018-08-07,"Economics","265424"
"265860","Economics",2018-08-16,1.5,283.966666666667,148,2018 Q3,2018-08-16,"Economics","265860"
"267036","Economics",2018-09-17,0.25,284.216666666667,149,2018 Q3,2018-09-17,"Economics","267036"
"267045","Economics",2018-09-19,0.25,284.466666666667,150,2018 Q3,2018-09-19,"Economics","267045"
"268624","Economics",2018-10-25,0.166666666666667,284.633333333333,151,2018 Q4,2018-10-25,"Economics","268624"
"268488","Economics",2018-10-31,0.166666666666667,284.8,152,2018 Q4,2018-10-31,"Economics","268488"
"268728","Economics",2018-10-31,1,285.8,153,2018 Q4,2018-10-31,"Economics","268728"
"268633","Economics",2018-11-30,3,288.8,154,2018 Q4,2018-11-30,"Economics","268633"
"268695","Economics",2018-11-30,15,303.8,155,2018 Q4,2018-11-30,"Economics","268695"
"270328","Economics",2018-12-14,0.5,304.3,156,2018 Q4,2018-12-14,"Economics","270328"
"270094","Economics",2018-12-31,3,307.3,157,2018 Q4,2018-12-31,"Economics","270094"
"270369","Economics",2018-12-31,2,309.3,158,2018 Q4,2018-12-31,"Economics","270369"
"271293","Economics",2019-01-16,0.333333333333333,309.633333333333,159,2019 Q1,2019-01-16,"Economics","271293"
"271462","Economics",2019-01-22,0.133333333333333,309.766666666667,160,2019 Q1,2019-01-22,"Economics","271462"
"271435","Economics",2019-01-31,6,315.766666666667,161,2019 Q1,2019-01-31,"Economics","271435"
"272009","Economics",2019-02-10,5,320.766666666667,162,2019 Q1,2019-02-10,"Economics","272009"
"272309","Economics",2019-02-10,5,325.766666666667,163,2019 Q1,2019-02-10,"Economics","272309"
"272203","Economics",2019-02-22,2,327.766666666667,164,2019 Q1,2019-02-22,"Economics","272203"
"272819","Economics",2019-02-25,0.0833333333333333,327.85,165,2019 Q1,2019-02-25,"Economics","272819"
"270669","Economics",2019-02-28,4,331.85,166,2019 Q1,2019-02-28,"Economics","270669"
"272551","Economics",2019-02-28,1,332.85,167,2019 Q1,2019-02-28,"Economics","272551"
"272885","Economics",2019-02-28,1,333.85,168,2019 Q1,2019-02-28,"Economics","272885"
"273996","Economics",2019-03-27,2,335.85,169,2019 Q1,2019-03-27,"Economics","273996"
"273739","Economics",2019-03-31,0.25,336.1,170,2019 Q1,2019-03-31,"Economics","273739"
"275078","Economics",2019-04-22,0.0833333333333333,336.183333333333,171,2019 Q2,2019-04-22,"Economics","275078"
"274679","Economics",2019-04-30,4,340.183333333333,172,2019 Q2,2019-04-30,"Economics","274679"
"275811","Economics",2019-05-06,2.25,342.433333333333,173,2019 Q2,2019-05-06,"Economics","275811"
"276189","Economics",2019-05-14,1,343.433333333333,174,2019 Q2,2019-05-14,"Economics","276189"
"276853","Economics",2019-05-31,0.5,343.933333333333,175,2019 Q2,2019-05-31,"Economics","276853"
"277031","Economics",2019-06-05,0.333333333333333,344.266666666667,176,2019 Q2,2019-06-05,"Economics","277031"
"277246","Economics",2019-06-30,0.5,344.766666666667,177,2019 Q2,2019-06-30,"Economics","277246"
"277536","Economics",2019-06-30,2,346.766666666667,178,2019 Q2,2019-06-30,"Economics","277536"
"277627","Economics",2019-06-30,0.5,347.266666666667,179,2019 Q2,2019-06-30,"Economics","277627"
"121978","Government",2011-09-27,1,1,1,2011 Q3,2011-09-27,"Government","121978"
"124617","Government",2011-11-21,38,39,2,2011 Q4,2011-11-21,"Government","124617"
"125007","Government",2011-11-21,1.5,40.5,3,2011 Q4,2011-11-21,"Government","125007"
"126041","Government",2011-11-22,3,43.5,4,2011 Q4,2011-11-22,"Government","126041"
"127463","Government",2011-12-15,0.25,43.75,5,2011 Q4,2011-12-15,"Government","127463"
"126961","Government",2011-12-19,3.5,47.25,6,2011 Q4,2011-12-19,"Government","126961"
"125040","Government",2011-12-22,1.5,48.75,7,2011 Q4,2011-12-22,"Government","125040"
"125968","Government",2012-01-04,4,52.75,8,2012 Q1,2012-01-04,"Government","125968"
"127250","Government",2012-01-04,41,93.75,9,2012 Q1,2012-01-04,"Government","127250"
"123368","Government",2012-01-09,0.25,94,10,2012 Q1,2012-01-09,"Government","123368"
"128997","Government",2012-01-10,14,108,11,2012 Q1,2012-01-10,"Government","128997"
"129715","Government",2012-01-20,0.75,108.75,12,2012 Q1,2012-01-20,"Government","129715"
"129934","Government",2012-01-23,2,110.75,13,2012 Q1,2012-01-23,"Government","129934"
"130020","Government",2012-01-24,1.5,112.25,14,2012 Q1,2012-01-24,"Government","130020"
"128929","Government",2012-01-31,17,129.25,15,2012 Q1,2012-01-31,"Government","128929"
"131206","Government",2012-02-13,2,131.25,16,2012 Q1,2012-02-13,"Government","131206"
"132126","Government",2012-02-21,0.25,131.5,17,2012 Q1,2012-02-21,"Government","132126"
"132304","Government",2012-02-23,1.5,133,18,2012 Q1,2012-02-23,"Government","132304"
"131477","Government",2012-03-01,3,136,19,2012 Q1,2012-03-01,"Government","131477"
"131633","Government",2012-03-01,27,163,20,2012 Q1,2012-03-01,"Government","131633"
"132239","Government",2012-03-01,32,195,21,2012 Q1,2012-03-01,"Government","132239"
"133200","Government",2012-03-13,0.5,195.5,22,2012 Q1,2012-03-13,"Government","133200"
"133487","Government",2012-03-14,11,206.5,23,2012 Q1,2012-03-14,"Government","133487"
"133611","Government",2012-03-16,0.333333333333333,206.833333333333,24,2012 Q1,2012-03-16,"Government","133611"
"133643","Government",2012-03-16,0.25,207.083333333333,25,2012 Q1,2012-03-16,"Government","133643"
"134546","Government",2012-03-30,0.5,207.583333333333,26,2012 Q1,2012-03-30,"Government","134546"
"134699","Government",2012-04-04,5.5,213.083333333333,27,2012 Q2,2012-04-04,"Government","134699"
"134636","Government",2012-04-06,3,216.083333333333,28,2012 Q2,2012-04-06,"Government","134636"
"135350","Government",2012-04-09,5,221.083333333333,29,2012 Q2,2012-04-09,"Government","135350"
"135017","Government",2012-04-11,3.5,224.583333333333,30,2012 Q2,2012-04-11,"Government","135017"
"135252","Government",2012-04-11,0.25,224.833333333333,31,2012 Q2,2012-04-11,"Government","135252"
"135606","Government",2012-04-11,1.5,226.333333333333,32,2012 Q2,2012-04-11,"Government","135606"
"135636","Government",2012-04-25,19,245.333333333333,33,2012 Q2,2012-04-25,"Government","135636"
"136320","Government",2012-04-25,1,246.333333333333,34,2012 Q2,2012-04-25,"Government","136320"
"136580","Government",2012-05-03,0.5,246.833333333333,35,2012 Q2,2012-05-03,"Government","136580"
"137042","Government",2012-05-08,0.333333333333333,247.166666666667,36,2012 Q2,2012-05-08,"Government","137042"
"136630","Government",2012-05-17,1.5,248.666666666667,37,2012 Q2,2012-05-17,"Government","136630"
"137458","Government",2012-05-17,8,256.666666666667,38,2012 Q2,2012-05-17,"Government","137458"
"137763","Government",2012-05-24,1,257.666666666667,39,2012 Q2,2012-05-24,"Government","137763"
"138269","Government",2012-06-01,58.3333333333333,316,40,2012 Q2,2012-06-01,"Government","138269"
"138295","Government",2012-06-04,1.16666666666667,317.166666666667,41,2012 Q2,2012-06-04,"Government","138295"
"139319","Government",2012-06-21,0.166666666666667,317.333333333333,42,2012 Q2,2012-06-21,"Government","139319"
"139201","Government",2012-06-27,5.5,322.833333333333,43,2012 Q2,2012-06-27,"Government","139201"
"139518","Government",2012-06-27,1.5,324.333333333333,44,2012 Q2,2012-06-27,"Government","139518"
"139620","Government",2012-06-28,0.5,324.833333333333,45,2012 Q2,2012-06-28,"Government","139620"
"139922","Government",2012-07-06,0.75,325.583333333333,46,2012 Q3,2012-07-06,"Government","139922"
"139945","Government",2012-07-06,4.5,330.083333333333,47,2012 Q3,2012-07-06,"Government","139945"
"135536","Government",2012-07-10,1,331.083333333333,48,2012 Q3,2012-07-10,"Government","135536"
"139607","Government",2012-07-13,1,332.083333333333,49,2012 Q3,2012-07-13,"Government","139607"
"141511","Government",2012-08-06,1,333.083333333333,50,2012 Q3,2012-08-06,"Government","141511"
"141679","Government",2012-08-09,4,337.083333333333,51,2012 Q3,2012-08-09,"Government","141679"
"142909","Government",2012-08-24,1,338.083333333333,52,2012 Q3,2012-08-24,"Government","142909"
"143314","Government",2012-09-04,2,340.083333333333,53,2012 Q3,2012-09-04,"Government","143314"
"143961","Government",2012-09-17,6,346.083333333333,54,2012 Q3,2012-09-17,"Government","143961"
"143886","Government",2012-09-26,4,350.083333333333,55,2012 Q3,2012-09-26,"Government","143886"
"144597","Government",2012-10-11,2,352.083333333333,56,2012 Q4,2012-10-11,"Government","144597"
"145027","Government",2012-10-11,12,364.083333333333,57,2012 Q4,2012-10-11,"Government","145027"
"145833","Government",2012-10-11,0.75,364.833333333333,58,2012 Q4,2012-10-11,"Government","145833"
"146523","Government",2012-10-23,2,366.833333333333,59,2012 Q4,2012-10-23,"Government","146523"
"146821","Government",2012-11-02,1.5,368.333333333333,60,2012 Q4,2012-11-02,"Government","146821"
"147272","Government",2012-11-05,0.75,369.083333333333,61,2012 Q4,2012-11-05,"Government","147272"
"147156","Government",2012-11-08,1.25,370.333333333333,62,2012 Q4,2012-11-08,"Government","147156"
"147384","Government",2012-11-08,7,377.333333333333,63,2012 Q4,2012-11-08,"Government","147384"
"147818","Government",2012-11-14,3,380.333333333333,64,2012 Q4,2012-11-14,"Government","147818"
"147716","Government",2012-11-20,8,388.333333333333,65,2012 Q4,2012-11-20,"Government","147716"
"148606","Government",2012-11-29,10,398.333333333333,66,2012 Q4,2012-11-29,"Government","148606"
"148782","Government",2012-12-03,2,400.333333333333,67,2012 Q4,2012-12-03,"Government","148782"
"148620","Government",2012-12-05,1.5,401.833333333333,68,2012 Q4,2012-12-05,"Government","148620"
"149193","Government",2012-12-12,2,403.833333333333,69,2012 Q4,2012-12-12,"Government","149193"
"149496","Government",2012-12-13,0.0833333333333333,403.916666666667,70,2012 Q4,2012-12-13,"Government","149496"
"149737","Government",2012-12-19,1,404.916666666667,71,2012 Q4,2012-12-19,"Government","149737"
"150183","Government",2013-01-09,11.5,416.416666666667,72,2013 Q1,2013-01-09,"Government","150183"
"151337","Government",2013-01-15,0.5,416.916666666667,73,2013 Q1,2013-01-15,"Government","151337"
"152700","Government",2013-02-01,3,419.916666666667,74,2013 Q1,2013-02-01,"Government","152700"
"152798","Government",2013-02-05,6.83333333333333,426.75,75,2013 Q1,2013-02-05,"Government","152798"
"154676","Government",2013-03-06,1,427.75,76,2013 Q1,2013-03-06,"Government","154676"
"154941","Government",2013-03-08,35.7,463.45,77,2013 Q1,2013-03-08,"Government","154941"
"155680","Government",2013-03-20,1.25,464.7,78,2013 Q1,2013-03-20,"Government","155680"
"155889","Government",2013-03-23,2,466.7,79,2013 Q1,2013-03-23,"Government","155889"
"155876","Government",2013-03-26,5.5,472.2,80,2013 Q1,2013-03-26,"Government","155876"
"155057","Government",2013-03-29,2,474.2,81,2013 Q1,2013-03-29,"Government","155057"
"156869","Government",2013-04-10,4,478.2,82,2013 Q2,2013-04-10,"Government","156869"
"157431","Government",2013-04-30,0.5,478.7,83,2013 Q2,2013-04-30,"Government","157431"
"159301","Government",2013-05-16,36.5,515.2,84,2013 Q2,2013-05-16,"Government","159301"
"158211","Government",2013-05-21,1,516.2,85,2013 Q2,2013-05-21,"Government","158211"
"159634","Government",2013-05-24,11,527.2,86,2013 Q2,2013-05-24,"Government","159634"
"156265","Government",2013-05-31,9.66666666666667,536.866666666667,87,2013 Q2,2013-05-31,"Government","156265"
"158630","Government",2013-05-31,2,538.866666666667,88,2013 Q2,2013-05-31,"Government","158630"
"158674","Government",2013-05-31,1,539.866666666667,89,2013 Q2,2013-05-31,"Government","158674"
"158704","Government",2013-05-31,3,542.866666666667,90,2013 Q2,2013-05-31,"Government","158704"
"160055","Government",2013-05-31,1,543.866666666667,91,2013 Q2,2013-05-31,"Government","160055"
"160060","Government",2013-05-31,0.5,544.366666666667,92,2013 Q2,2013-05-31,"Government","160060"
"160317","Government",2013-06-05,2,546.366666666667,93,2013 Q2,2013-06-05,"Government","160317"
"160367","Government",2013-06-27,29.3333333333333,575.7,94,2013 Q2,2013-06-27,"Government","160367"
"161603","Government",2013-06-27,4,579.7,95,2013 Q2,2013-06-27,"Government","161603"
"160286","Government",2013-06-28,7.5,587.2,96,2013 Q2,2013-06-28,"Government","160286"
"161082","Government",2013-06-28,0.333333333333333,587.533333333333,97,2013 Q2,2013-06-28,"Government","161082"
"161236","Government",2013-06-28,0.5,588.033333333333,98,2013 Q2,2013-06-28,"Government","161236"
"161723","Government",2013-06-28,2,590.033333333333,99,2013 Q2,2013-06-28,"Government","161723"
"160520","Government",2013-07-01,1,591.033333333333,100,2013 Q3,2013-07-01,"Government","160520"
"162089","Government",2013-07-05,0.5,591.533333333333,101,2013 Q3,2013-07-05,"Government","162089"
"162416","Government",2013-07-12,0.333333333333333,591.866666666667,102,2013 Q3,2013-07-12,"Government","162416"
"162797","Government",2013-07-18,3,594.866666666667,103,2013 Q3,2013-07-18,"Government","162797"
"162972","Government",2013-07-23,0.166666666666667,595.033333333333,104,2013 Q3,2013-07-23,"Government","162972"
