"date","patron_community","n_tickets","cum_n_tickets"
"2013/02","Psychology",1,41
"2013/03","Psychology",6,47
"2013/04","Psychology",5,52
"2013/05","Psychology",7,59
"2013/06","Psychology",10,69
"2013/07","Psychology",4,73
"2013/08","Psychology",8,81
"2013/09","Psychology",7,88
"2013/10","Psychology",7,95
"2013/11","Psychology",6,101
"2013/12","Psychology",5,106
"2014/01","Psychology",5,111
"2014/02","Psychology",7,118
"2014/03","Psychology",4,122
"2014/04","Psychology",6,128
"2014/05","Psychology",9,137
"2014/06","Psychology",2,139
"2014/07","Psychology",5,144
"2014/08","Psychology",4,148
"2014/09","Psychology",6,154
"2014/10","Psychology",1,155
"2014/11","Psychology",5,160
"2014/12","Psychology",6,166
"2015/01","Psychology",6,172
"2015/02","Psychology",3,175
"2015/03","Psychology",10,185
"2015/04","Psychology",3,188
"2015/05","Psychology",6,194
"2015/06","Psychology",6,200
"2015/07","Psychology",7,207
"2015/08","Psychology",2,209
"2015/09","Psychology",4,213
"2015/10","Psychology",4,217
"2015/11","Psychology",7,224
"2015/12","Psychology",4,228
"2016/01","Psychology",3,231
"2016/02","Psychology",9,240
"2016/03","Psychology",8,248
"2016/04","Psychology",11,259
"2016/05","Psychology",7,266
"2016/06","Psychology",8,274
"2016/07","Psychology",6,280
"2016/08","Psychology",7,287
"2016/09","Psychology",7,294
"2011/11","Sociology",1,1
"2011/12","Sociology",2,3
"2012/01","Sociology",4,7
"2012/02","Sociology",3,10
"2012/03","Sociology",2,12
"2012/04","Sociology",3,15
"2012/05","Sociology",2,17
"2012/06","Sociology",4,21
"2012/07","Sociology",1,22
"2012/08","Sociology",2,24
"2012/09","Sociology",2,26
"2012/10","Sociology",1,27
"2012/11","Sociology",6,33
"2012/12","Sociology",3,36
"2013/01","Sociology",1,37
"2013/02","Sociology",7,44
"2013/03","Sociology",4,48
"2013/04","Sociology",1,49
"2013/05","Sociology",2,51
"2013/06","Sociology",1,52
"2013/07","Sociology",3,55
"2013/09","Sociology",6,61
"2013/10","Sociology",4,65
"2013/11","Sociology",3,68
"2013/12","Sociology",5,73
"2014/01","Sociology",2,75
"2014/02","Sociology",10,85
"2014/03","Sociology",5,90
"2014/05","Sociology",5,95
"2014/06","Sociology",4,99
"2014/07","Sociology",3,102
"2014/08","Sociology",4,106
"2014/09","Sociology",2,108
"2014/10","Sociology",6,114
"2014/11","Sociology",3,117
"2014/12","Sociology",5,122
"2015/01","Sociology",7,129
"2015/02","Sociology",6,135
"2015/03","Sociology",4,139
"2015/04","Sociology",2,141
"2015/05","Sociology",1,142
"2015/06","Sociology",4,146
"2015/07","Sociology",6,152
"2015/08","Sociology",3,155
"2015/09","Sociology",3,158
"2015/10","Sociology",6,164
"2015/11","Sociology",6,170
"2015/12","Sociology",3,173
"2016/01","Sociology",9,182
"2016/02","Sociology",8,190
"2016/03","Sociology",10,200
"2016/04","Sociology",5,205
"2016/05","Sociology",6,211
"2016/06","Sociology",3,214
"2016/07","Sociology",3,217
"2016/08","Sociology",8,225
"2016/09","Sociology",2,227
