Timestamp	Please enter the start date of the GIS Institute which you are applying to attend	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
10/26/2018 13:25:51	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Social Anthropology and Middle Eastern Studies
10/26/2018 13:54:48	1/8/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PHS
10/26/2018 14:00:33	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
10/26/2018 14:06:09	1/8/2019	Faculty	Harvard Medical School (HMS)	Department of Psychiatry
10/26/2018 14:28:53	1/8/2019	Visitor	Harvard School of Public Health (HSPH)	Social and Behavior Science
10/26/2018 14:33:50	1/8/2019	Post doctoral research associate	Harvard School of Public Health (HSPH)	Epidemiology
10/26/2018 15:07:18	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design in Energy and Environment
10/26/2018 15:20:20	1/8/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies
10/26/2018 15:24:21	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters in Design Studeis (Energy and Environment)
10/26/2018 15:58:48	1/8/2018	Alum or Emeritus	FAS Social Science Division	Davis Center
10/26/2018 16:38:05	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Social Anthropology 
10/26/2018 22:14:00	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design 
10/28/2018 19:37:33	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDES
10/29/2018 9:27:41	10/29/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences
10/29/2018 11:17:01	1/1/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Environmental Health 
10/29/2018 13:53:33	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Architecture in Urban Design
10/29/2018 19:49:35	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of Government
10/30/2018 11:17:23	1/8/2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Global Health and Population 
10/30/2018 12:42:44	1/8/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health: MPH 65 Sustainability, Health, and Global Environment
10/30/2018 20:03:31	1/8/2018	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population Master of Science
10/30/2018 23:23:11	1/8/2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability/Environmental Management
10/31/2018 0:19:08	1/8/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology & Social Policy
10/31/2018 11:45:09	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies
10/31/2018 13:52:08	1/8/2019	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA Program at the Davis Center 
10/31/2018 14:36:28	1/8/2019	Undergraduate student	Harvard College	History of Science (Technology, Information, and Society Track)
10/31/2018 15:00:02	1/8/2019	Post doctoral research associate	FAS Arts and Humanities Division	Center for History and Economics
10/31/2018 18:27:59	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies Urbanism Landscape and Ecology
10/31/2018 20:25:30	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Landscape Architecture I AP
10/31/2018 20:38:43	1/8/2018	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture and Urban Planning 
11/1/2018 12:24:45	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape
11/5/2018 11:25:18	1/8/2018	Staff	Harvard School of Public Health (HSPH)	Harvard Humanitarian Initiative
11/11/2018 13:28:49	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning Program + Architecture Program
11/12/2018 10:26:39	11/12/2018	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Urban Planning
11/15/2018 16:26:56	6/14/2019	Staff	Harvard Kennedy School of Government (HKS)	Library & Knowledge Services
11/19/2018 18:13:37	1/8/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Department of Environmental Health
11/29/2018 12:16:22	1/8/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology/Quantitative Methods
1/5/2019 16:24:14	6/4/2019	Research fellow	Harvard Medical School (HMS)	Program in Global Surgery and Social Change
1/28/2019 21:25:27	6/4/2019	Research fellow	Harvard School of Public Health (HSPH)	Social and Behavioral Sciences
2/20/2019 15:33:17	6/4/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP
3/5/2019 18:46:18	6/4/2019	Alum or Emeritus	Harvard College	Alumna
3/14/2019 23:49:44	6/4/2019	Graduate student: Doctorate	FAS Social Science Division	Anthropology & Middle Eastern Studies
3/20/2019 12:40:51	6/4/2019	Other Affliate	Harvard Kennedy School of Government (HKS)	Harvard Kennedy School Government Performance Lab (GPL)
3/20/2019 19:24:07	6/4/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters of Urban Planning + Masters of Architecture
3/21/2019 10:23:55	6/4/2019	Research fellow	Harvard School of Public Health (HSPH)	Department of Social and Behavioral Sciences
3/21/2019 17:37:53	6/4/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
3/22/2019 14:36:33	6/4/2019	Research assistant	Harvard Medical School (HMS)	Boston children's hospital
3/22/2019 17:42:41	6/4/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture
3/23/2019 15:44:18	4/6/2019	Visitor	Harvard Law School (HLS)	Institute for Global Law and Policy
3/29/2019 15:21:55	6/4/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HSPH - Population Health Sciences/Environmental Health
4/14/2019 15:13:51	6/4/2019	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center for Democratic Governance and Innovation
4/17/2019 21:24:53	6/4/2019	Faculty	Harvard Medical School (HMS)	Department of Global Health & Social Medicine
4/18/2019 11:06:19	6/4/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	East Asian Languages and Civilizations
4/18/2019 11:12:19	6/4/2019	Research assistant	Harvard Medical School (HMS)	Mass Eye and Ear
4/24/2019 10:25:15	6/4/2019	Research assistant	Harvard Medical School (HMS)	PGSSC
4/24/2019 15:39:10	6/4/2019	Research fellow	FAS Arts and Humanities Division	East Asia Languages and Civilizations
4/25/2019 9:16:09	6/4/2019	Faculty	Harvard Law School (HLS)	Empirical Research Services
4/25/2019 12:53:27	6/24/2019	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine
5/13/2019 11:55:45	6/4/2019	Research fellow	Harvard Kennedy School of Government (HKS)	Women and Public Policy Program
7/19/2019 1:59:41	1/7/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture Department
8/22/2019 21:10:30	1/7/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Clinical Effectiveness
8/31/2019 16:05:21	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
9/17/2019 20:28:32	1/7/2020	Research fellow	Harvard School of Public Health (HSPH)	Center for Population and Development Studies
9/27/2019 13:21:31	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
10/10/2019 13:53:27	1/7/2020	Staff	Harvard School of Dental Medicine (HSDM)	Massachusetts General Hospital
10/10/2019 17:26:36	1/7/2019	Post doctoral research associate	Harvard School of Public Health (HSPH)	Environmental Health - EER
10/10/2019 18:34:14	1/7/2020	Graduate student: Masters	Harvard Graduate School of Education (GSE)	Master of Urban Planning
10/12/2019 18:33:06	1/7/2020	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Center for Middle Eastern Studies 
10/16/2019 14:05:12	6/2/2020	Research fellow	Harvard School of Public Health (HSPH)	Global Health and Population
10/16/2019 14:15:19	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/18/2019 13:57:06	1/7/2020	Post doctoral research associate	Harvard School of Public Health (HSPH)	GHP
10/21/2019 12:08:30	1/7/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies (Energy and Environment)
10/21/2019 17:52:42	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology and Social Policy 
10/21/2019 18:15:57	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
10/22/2019 17:46:33	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy and Government
10/24/2019 10:40:56	1/7/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
10/24/2019 20:33:09	1/7/2019	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA
10/25/2019 11:44:44	1/7/2020	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy
10/25/2019 23:48:46	1/7/2020	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	East Asian
10/26/2019 0:46:02	1/7/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning
10/26/2019 15:05:44	1/7/2020	Research assistant	Harvard Divinity School (HDS)	Business, Government, and International Economy
10/27/2019 18:06:32	1/7/2020	Research fellow	Harvard School of Public Health (HSPH)	Takemi Program in International Health
10/28/2019 10:03:19	1/7/2020	Research fellow	Harvard School of Engineering and Applied Sciences (SEAS)	Harvard China Program
10/29/2019 9:23:11	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
10/29/2019 11:08:31	1/7/2020	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Nutrition (NUT)
10/29/2019 12:26:19	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
10/30/2019 13:01:21	1/7/2020	Other Affliate	Harvard Medical School (HMS)	Community Health
10/30/2019 18:15:28	1/7/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies, Urbanism, Landscape, Ecology
10/31/2019 11:46:36	1/7/2020	Undergraduate student	Harvard College	Economics
10/31/2019 12:44:50	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/31/2019 16:25:57	1/7/2019	Research fellow	Harvard School of Public Health (HSPH)	Global Health and Population
10/31/2019 21:10:36	1/7/2020	Graduate student: Masters	Harvard School of Public Health (HSPH)	Social Behavioral Sciences
11/1/2019 10:32:37	1/7/2019	Post doctoral research associate	FAS other units	Weatherhead Center â Program on US-Japan Relations
11/1/2019 14:53:33	1/7/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/1/2019 15:47:29	1/7/2020	Research fellow	FAS other units	Weatherhead Center for International Affairs
11/1/2019 18:29:55	1/7/2020	Undergraduate student	Harvard College	Sociology and Statistics
11/1/2019 19:09:32	1/7/2020	Research assistant	Harvard Business School (HBS)	General management
11/4/2019 1:20:45	1/7/2020	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Administration in International Development (MPA/ID)
11/6/2019 10:21:38	1/7/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History (secondary in Archaeology)
11/7/2019 22:43:43	1/7/2020	Graduate student: Masters	Harvard School of Public Health (HSPH)	Health Policy
11/8/2019 15:51:12	1/7/2020	Undergraduate student	Harvard College	Economics
11/27/2019 15:52:19	1/7/2019	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine 
12/5/2019 11:43:00	1/7/2020	Visitor	FAS Arts and Humanities Division	Department of Near Eastern Languages and Civilizations
12/16/2019 13:52:33	1/7/2019	Staff	Harvard Business School (HBS)	Research Services
12/20/2019 20:17:13	1/7/2020	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Program on Education Policy and Governance
2/15/2020 13:24:08	6/2/2020	Graduate student: Doctorate	FAS Arts and Humanities Division	East Asian Languages and Civilizations
2/19/2020 16:22:34	6/2/2020	Other Affliate	FAS Arts and Humanities Division	Human Evolutionary Biology 
3/6/2020 15:49:33	6/2/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
3/14/2020 16:06:23	6/2/2020	Research fellow	Harvard School of Public Health (HSPH)	Takemi Program in the department of Global health and population
3/18/2020 15:31:57	6/2/2020	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Davis Center - Regional Studies: Russia, East Europe, and Central Asia
3/18/2020 19:46:43	6/2/2020	Research assistant	Harvard Medical School (HMS)	Programs in Research at the VA (Boston)
3/31/2020 21:22:32	6/2/2020	Graduate student: Masters	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Extension School ALM candidate - Sustainability
5/2/2020 6:38:48	6/2/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	African and African American Studies
5/15/2020 0:07:09	6/2/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master Design Studies: Real Estate
5/20/2020 22:01:07	1/5/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	DCE
5/26/2020 16:50:49	6/2/2020	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Regional Studies--East Asia
6/8/2020 15:22:27	1/5/2021	Faculty	FAS Social Science Division	Department of Government + Davis Center
7/13/2020 0:13:24	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Architecture I
8/21/2020 10:14:36	1/5/2021	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Program on Education Policy and Governance
9/4/2020 15:05:14	1/5/2021	Research fellow	FAS Arts and Humanities Division	Hutchins Center 
9/4/2020 20:36:39	1/5/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	EALC
9/14/2020 11:22:19	1/5/2021	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Ash Center
9/18/2020 6:38:19	1/5/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture
9/19/2020 18:47:22	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master's in Urban Planning and Master's in Public Health (HSPH)
9/29/2020 11:20:04	1/5/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/5/2020 13:08:33	1/5/2021	Undergraduate student	Harvard College	Government/ Russia, Eastern Europe, and Central Asia
10/11/2020 18:52:05	5/1/2021	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Davis Center for Russian and Eurasian Studies
10/13/2020 9:57:43	1/5/2021	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Science & Engineering
10/13/2020 10:33:38	1/5/2021	Faculty	Harvard Medical School (HMS)	Psychotic Disorders Division, McLean Hospital
10/19/2020 6:58:09	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning 
10/19/2020 14:31:56	1/5/2021	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master's in Public Policy
10/21/2020 5:21:25	1/15/2021	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Regional Studies: Russia, Eastern Europe and Central Asia
10/21/2020 7:15:02	1/5/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/22/2020 15:35:32	1/5/2021	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy program
10/23/2020 15:34:31	1/5/2021	Undergraduate student	Harvard College	Economics
10/23/2020 23:54:59	1/4/2021	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Science & Engineering
10/30/2020 13:45:04	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning
10/31/2020 16:02:05	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
11/2/2020 9:26:00	10/12/1992	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Middle Eastern Studies and History of Art and Architecture
11/2/2020 10:08:31	1/5/2021	Post doctoral research associate	FAS Arts and Humanities Division	Mahindra Humanities Center
11/2/2020 13:11:02	11/2/2020	Graduate student: Doctorate	Harvard Medical School (HMS)	Pathways Program in HMS, Department of Dermatology at Brigham and Women's Hospital
11/12/2020 22:29:59	6/1/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
11/14/2020 16:01:47	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
11/14/2020 16:08:19	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
11/14/2020 16:14:40	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
11/14/2020 17:07:43	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
11/14/2020 19:14:24	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design, Urban Planning Program
11/15/2020 10:42:35	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
11/18/2020 10:16:02	1/5/2021	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Center for Middle Eastern Studies (CMES) 
11/21/2020 9:21:20	1/5/2021	Other Affliate	Harvard Medical School (HMS)	Program in Global Surgery and Social Change - Research Associate
11/24/2020 0:55:21	1/5/2021	Graduate student: Masters	Harvard Medical School (HMS)	Department of Global Health and Social Medicine
12/1/2020 14:37:02	1/5/2021	Graduate student: Masters	Harvard Medical School (HMS)	Global health
12/2/2020 8:13:17	1/5/2021	Graduate student: Masters	Harvard Medical School (HMS)	Global health and social medicine
12/2/2020 10:09:32	1/5/2021	Research assistant	Harvard Medical School (HMS)	Program in Global Surgery and Social Change
12/4/2020 3:16:57	1/5/2021	Graduate student: Masters	Harvard Medical School (HMS)	Department of Global Health and Social Medicine â Harvard University
12/4/2020 14:52:59	1/5/2021	Post doctoral research associate	HUIT, Libraries, UPO, University Centers, Programs, etc.	Weatherhead Center for International Affairs
12/6/2020 23:45:32	1/5/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Engineering
12/9/2020 14:10:23	1/5/2021	Graduate student: Doctorate	Harvard Business School (HBS)	Strategy Unit
1/1/2021 21:43:01	1/5/2021	Research assistant	Harvard Graduate School of Design (GSD)	Harvard Dermatology
1/11/2021 11:19:30	6/1/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban planning
1/23/2021 15:26:01	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	American Studies
1/28/2021 18:29:34	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History & Middle Eastern Studies
3/4/2021 11:51:41	6/1/2021	Research fellow	Harvard Medical School (HMS)	Instructor, General Surgery, Brigham and Women's
3/7/2021 10:45:59	6/1/2021	Faculty	Harvard College	History and Literature
3/14/2021 21:45:07	6/1/2021	Staff	Harvard Business School (HBS)	Research Associate at HBS
3/16/2021 21:25:38	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science
3/18/2021 17:17:18	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Romance Languages and Literatures
3/19/2021 11:23:17	6/1/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	SBH
3/19/2021 20:40:48	6/1/2021	Staff	Harvard Kennedy School of Government (HKS)	Women and Public Policy Program (WAPPP)
3/24/2021 1:51:38	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science
3/31/2021 11:36:25	6/1/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	International Relations
4/1/2021 0:58:56	6/1/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture/Aga Khan Islamic Architecture Program
4/2/2021 20:50:17	6/1/2021	Faculty	FAS Social Science Division	History of Science
4/13/2021 16:41:30	6/1/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning
4/13/2021 17:26:45	6/1/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Master of Liberal Arts (ALM) in Extension Studies, field of Sustainability
5/19/2021 15:19:55	6/1/2021	Research fellow	Harvard Medical School (HMS)	Center for Surgery and Public Health 
10/11/2021 6:12:59	1/4/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
10/15/2021 12:10:04	1/4/2022	Research fellow	Harvard School of Public Health (HSPH)	Takemi Fellow Program
10/20/2021 22:15:05	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
10/21/2021 16:53:14	1/4/2022	Research fellow	Harvard Medical School (HMS)	Dermatology/Connective Tissue Disease Clinic/MGH
10/21/2021 17:41:35	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design Studies, concentration in Critical Conservative 
10/21/2021 17:44:35	1/4/2022	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Architecture
10/21/2021 19:18:34	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes Critical Conservation
10/21/2021 20:31:52	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Landscape Architecture
10/22/2021 1:23:13	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture
10/22/2021 10:45:14	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies (MDes)
10/22/2021 21:34:01	1/4/2021	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Davis Center - REECA
10/24/2021 22:10:37	1/4/2022	Post doctoral research associate	FAS Social Science Division	Weatherhead Center for International Affairs
10/25/2021 11:44:10	1/4/2022	Post doctoral research associate	FAS Arts and Humanities Division	Harvard University Center for the Environment; History of Art and Architecture
10/25/2021 13:25:53	1/4/2022	Graduate student: Doctorate	FAS Social Science Division	Economics
10/26/2021 11:46:44	1/4/2022	Faculty	FAS Social Science Division	Government
10/26/2021 18:01:10	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning & Design
10/28/2021 15:14:08	1/4/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NELC
10/29/2021 12:26:37	1/4/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/29/2021 15:25:09	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
10/29/2021 15:36:38	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
10/29/2021 22:27:11	1/4/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
10/29/2021 23:24:26	1/4/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy
10/29/2021 23:42:51	1/4/2022	Research assistant	Harvard Graduate School of Design (GSD)	Critical Landscapes Design Lab 
11/2/2021 6:17:31	1/4/2022	Graduate student: Masters	FAS Division of Continuing Education (DCE)	ALM in Sustainability
11/17/2021 12:24:31	1/4/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
1/9/2022 13:39:07	5/31/2022	Graduate student: Masters	FAS Division of Continuing Education (DCE)	ALM - History
2/13/2022 20:12:06	5/31/2022	Visitor	FAS other units	CGA
2/16/2022 11:32:05	5/31/2022	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability ALM
2/28/2022 10:01:04	5/31/2022	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture
3/6/2022 13:48:46	5/31/2022	Undergraduate student	Harvard College	Government
3/8/2022 9:08:29	5/31/2022	Faculty	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies
3/16/2022 14:34:50	5/31/2022	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	DDes - Landscape Architecture
3/17/2022 17:17:30	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning'23
3/18/2022 9:25:41	5/31/2022	Post doctoral research associate	FAS Social Science Division	Korea Institute
3/18/2022 11:42:27	5/31/2022	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	Urban Planning
3/18/2022 16:51:47	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
3/18/2022 17:14:34	5/31/2022	Graduate student: Doctorate	FAS Social Science Division	Government
3/18/2022 17:20:33	12/19/1997	Graduate student: Masters	Harvard Graduate School of Design (GSD)	GSD MLA1
3/18/2022 18:00:23	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design 
3/19/2022 3:26:41	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
3/19/2022 13:08:29	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design - Master in Urban Planning Program
3/19/2022 13:21:55	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Architecture I, Department of Architecture
3/20/2022 18:59:47	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies, Risk and Resilience Concentration
3/21/2022 9:11:39	5/31/2022	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDE
