Speakers		Description	YouTube ID
Gustavo Durand, James Myers	Introduction to Dataverse APIs	How to get started with Dataverse APIs and an overview of tools that make use of them.	Z8C0kz5zn0s
Katie Mika, Wim Hugo, Amber Leahey	GDCC Sensitive Data IG meeting - National Repositories & National Regulations	This recording of the January meeting of the Sensitive Data IG focused on National Data Repositories & Initiatives as well as local sensitive data regulations and best practices for managing and sharing. We had a few community members from National Repositories who shared their perspectives including DANS & Borealis.	
Kelly Doonan-Reed	TurboCurator demo	TurboCurator by ICPSR assists data depositors by providing recommendations for enhancing metadata quality before publication.	
Melina HernÃ¡ndez	Demo of the new Dataverse frontend: files table	"The Dataverse frontend is being <a href=""https://groups.google.com/g/dataverse-community/c/2hfhWIHQddE/m/hATuWGGSAAAJ"">rewritten</a> into a Single Page Application (SPA) and <a href=""https://github.com/IQSS/dataverse-frontend"">the new React code</a> is now deployed to <a href=""https://beta.dataverse.org/spa"">beta.dataverse.org/spa</a>. This video demostrates the progress so far, especially the ability to display, sort, and filter files on a dataset page."	
Jan Range	pyDataverse-Generator, an automated approach using the OpenAPI specification	PyDataverse is designed to closely resemble Dataverse's native API structure. However, the native API is not static, and new endpoints are added or existing ones can change with each release. This makes it challenging to keep PyDataverse up-to-date with the latest API changes, as there is no active maintenance team. To reduce the maintenance burden and ensure PyDataverse is up to date, OpenAPI specifications can be used to dynamically generate PyDataverse's core. This includes URL endpoints, parameters, payload, and response schemes. In addition, synchronized schemes allow client-side validation of requests that are up-to-date with the current version of Dataverse. Ultimately, automatic synchronization between PyDataverse and Dataverse reduces maintenance burden, allowing the maintenance team to focus on developing a high-level interface for user-friendliness and ensures the core developer team that upstream changes are reflected in client libraries.	
Sonia Barbosa	Intermediate Curation on the Dataverse Platform	This session is designed to delve into the practices, tools, and features of data curation, focusing specifically on the Harvard Dataverse Repository as the platform for storing, sharing, and curating research data. This webinar aims to guide intermediate users through advanced curation techniques, empowering them to enhance data discoverability, usability, and re-usability within the Harvard Repository. Attendees will gain in-depth knowledge of metadata enrichment, version control, best practices for data documentation, and ensuring compliance with repository standards and policies.	L5n6qci3bz0
Julian Gautier	Introduction to Metadata in Dataverse Repositories: For Researchers and Support Staff 	Come learn about how Dataverse helps researchers describe and find data. This webinar will cover how metadata fields are organized and how Dataverse features help streamline data publishing and make data more findable, accessible, and reusable.	8BZRqtdhF68
Kyle Logue	A Python script for downloading large files from Dataverse	"The script can be downloaded from <a href=""https://gist.github.com/Teque5/432971e88440ba78fc5c6147bcdf1662"">GitHub</a>. In the Zoom recording, this is video 2 of 2."	
Philip Durbin	Fast redeploy of Dataverse code, continued	"A quick demo with Netbeans and pointers toward the <a href=""https://groups.google.com/g/dataverse-community/c/zNBDzSMF2Q0/m/Z-xS6fA2BgAJ"">ongoing discussion</a>. In the Zoom recording, this is video 1 of 2."	
Philip Durbin	Fast redeploy of Dataverse code with Netbeans	"With Payara running in a Docker container, we run Dataverse (a Jakarta EE app) in debug mode and click ""Apply Code Changes"" to quickly deploy code changes. See also <a href=""https://github.com/IQSS/dataverse/issues/9590"">#9590</a>."	yo3aKOg96f0
Sonia Barbosa, Gustavo Durand, Amber Leahey	Introduction to Data Handling on the Dataverse Platform	Introduction to Dataverse â Data Management Principles â File Handling & Deposit â Permissions and access â Overview of File Handling Features â Management of Various Data Types â File Versioning â Files and External Tools / Integrations â Spotlight: Analysing Survey Data Using Data Explorer	DzyFHoZp71g
Julian Gautier, Eryk Kulikowski	Oct 2023 Datavese Community Call: UX research and RO-Crate	"Julian Gautier spoke about an update to a UX research resource, <a href=""https://doi.org/10.7910/DVN/8FEGUV"">Dataset metadata of known Dataverse installations""</a>, meant to help make data informed design decisions for Dataverse, and gave an update on the planned Dataverse UX Working Group. The KU Leuven LIBIS team demoed and discussed their work on RO-Crate previewers and exports. For more information about KU Leuven LIBIS team's talk, see <a href=""https://groups.google.com/u/1/g/dataverse-community/c/oXksy1da1KI"">the thread in the Dataverse Community Google Group</a>."	
Guido Schmutz	Platys and Dataverse	"<a href=""https://github.com/trivadispf/platys"">Platys</a> is a tool for generating and provisioning modern data platforms based on Docker and Docker Compose. In this demo we see how the next version of Platys will support Dataverse."	
Katie Mika	Introduction to Data Management & FAIR	This webinar goes beyond the basics, offering a comprehensive overview of how the FAIR principles - Findability, Accessibility, Interoperability, and Reusability - can elevate your data management skills and propel you towards becoming a data sharing expert.	X19ne3S8Axo
Miguel Tomas Silva	Real-time experimental data and Dataverse	"Adding <a href=""https://tinyurl.com/ValidationDataOrigins"">functionality</a> to receive live, real-time, experimental data directly from a smart data acquisition device into Dataverse."	
Julian Gautier	GREI Collaborative Webinar: Metadata Recommendations	Metadata recommendations from the GREI metadata and search subcommittee, including how the recommendations came about, what we hope to achieve, and next steps.	PmvEunzZUsc
Sonia Barbosa, Julie Goodman	Introduction to Using the Harvard Dataverse Repository & the NIH DMP Harvard Dataverse Guidance Document	Come learn about the Harvard Dataverse Repository for data sharing and preservation. This overview will cover how Dataverse supports data sharing and FAIR, the new NIH DMP Harvard Dataverse Guidance documentation, an overview, and more. 	GAtrBD8ajNI
Ellen Kraffmiller et. al	UI Component Library Group kickoff meeting	"We had a good discussion about the goals for our group, the main goal being to share information among community members interested in UI development. For notes and future meetings, see <a href=""https://groups.google.com/g/dataverse-community/c/4iuH6HRUy2c/m/59beyU3OAQAJ"">this thread<a>."	
Slava Tykhonov	Knowledge Graphs and Semantic Search in Dataverse	Presentation for the Dataverse Community call on the practical implementation of semantic interoperability on the infrastructure level by using Linked Open Data and Semantic Web technologies.	
Guillermo Portas	Demo of the new Dataverse frontend	"The Dataverse frontend is being <a href=""https://groups.google.com/g/dataverse-community/c/2hfhWIHQddE/m/hATuWGGSAAAJ"">rewritten</a> into a Single Page Application (SPA) and <a href=""https://github.com/IQSS/dataverse-frontend"">the new React code</a> is now deployed to <a href=""https://beta.dataverse.org/spa"">beta.dataverse.org/spa</a>. This video demostrates the progress so far, especially the ability to display a dataset page."	
Erwan BÃ©guin	Connectors between Dataverse and several research tools such as JupyterHub and D4science	"The EOSC Pillar Dataverse-to-JupyterHub Connector enables seamless data transfer, promoting efficient analysis and collaboration. Key features include two-way file and dataset transfer, lightweight deployment, and cloud integration with JupyterHub instances. It supports small to medium-sized files and open access Dataverse API endpoints, with upcoming support for large files and signed Dataverse endpoints. The repository is available here: <a href=""https://forgemia.inra.fr/dipso/eosc-pillar/dataverse-jupyterhub-connector"">https://forgemia.inra.fr/dipso/eosc-pillar/dataverse-jupyterhub-connector<a>"	
Thomas van Erven	"Presentation slides ""Semantic enrichment using Dockerized Services"""	Slides from the presentation done first at Braga in 2023, later on 11th of July during community call.	
Dieuwertje Bloemen, Nick Poels	Integrating Symplectic Elements with Dataverse		SWfgZjR90ys
(Silent presentation)	"Demo video from presentation ""Semantic Enrichment using Dockerized Services"""	"Video depicting a number of technical topics via demo from the presentation ""Semantic Enrichment using Dockerized Services"	
Various	Dataverse Community Meeting 2023: June 7	Livestream from #dataverse2023 in Braga, Portugal.	mJuUdV39Bng
Various	Dataverse Community Meeting 2023: June 6	Livestream from #dataverse2023 in Braga, Portugal.	Bg3oeAzbkb8
Rok RoÅ¡kar	Renku: a platform for sustainable data science	Renku is a platform developed at the Swiss Data Science Center with the goal of making it easier to develop, explore, and disseminate data science projects. This talk introduces the basic ideas behind the platform and focuses on potential integrations with data repositories.	
Dominic Kempf	Pooch - Easily interact with data repositories from Python code	Demo of the Pooch library for data downloading from Python library code including its capabilities to work directly with DOIs pointing to Dataverse repositories.	
Philip Durbin, Oliver Bertuch, Guillermo Portas	Dataverse Containerization proposal	"A walkthrough of the <a href=""https://docs.google.com/document/d/14DHDB24Cp_kzpYqhHCKCtnzOw8_WuLOOONyqJHSsaYM/edit?usp=sharing"">Dataverse Containerization</a> proposal by its authors, building upon the work of the <a href=""https://ct.gdcc.io/"">Containerization Working Group</a>."	
Dimitri Szabo	Data paper template generation tool	Data papers are small publications allowing to increase the visibility of published dataset, in particular when they are not related to a scientific article. If the description expected in a data paper should be more extensive than the one provided in the repository, most of the information is either the same than the metadata or can be expanded from the metadata a first basis. The concept of this tool is therefore to generate templates of data papers, that can be adapted e.g. for various journals, prefilled from the metadata of datasets published in Dataverse.	
Ramin Soleymani-Fard	IDS Toolkit Demo/Local Contexts - Dataverse	"The RIDAGOP (Indigenous data sovereignty) toolkit (<a href=""https://toolkit.ridagop.net"">https://toolkit.ridagop.net</a>) allows developers to create generic data-management processes, connect them to data-repository systems. This demonstrates two processes; adding Local Contexts Labels to datasets and how to create a customizable data access application processes."	
Philip Durbin, Oliver Bertuch, et al.	Kickoff of the Containerization Working Group	"The <a href=""https://dataverse.org/working-groups#cwg"">Containerization Working Group</a> will meet weekly on Thursdays at 10am Boston time. The first goal is to write up <a href=""DRAFT - Dataverse Containerization"">a proposal</a> to present at the community call on April 18."	
Jan Range	EasyDataverse	EasyDataverse is a Python library used to interface Dataverse installations and present metadatablocks as objects that data can be mapped to. Simply connect to a Dataverse, enter metadata, add files and upload to your installation.	
Sebastian Karcher	Integrating Hypothesis Open Web Annotations into Dataverse	QDR provides an external tool, Anno-REP, to extract annotations from Word or PDF, convert them into Hypothes.is annotations, and export them to any webpage. Annotations are also stored in QDRâs Dataverse instance, where they can be viewed using a previewer.	
Jan Range	Modular SPA Design: Proof of principle in React	As Dataverse strives towards enriching its capabilities through a single page application, cutting-edge web development libraries like React provide unparalleled flexibility in design. In light of this, a significant achievement would be to enable users to tailor their experience by integrating plugins that extend functionality or streamline data transfer to external applications, such as a review tool. The talk at hand showcases a prototype, serving as a proof of concept, and offers insight into the architecture and utilization of such an extension within the SPA.	
Dieuwertje Bloemen, Eryk Kulikowski	Demo of rdm-integration	A dashboard to pull data from active data management systems (such as Gitlab, Github, iRods and pretty much any tool with an API). It's meant to make integrations more flexible and less dependent on the integrationâs providerâs cooperation.	
Jan Range	EasyReview	EasyReview is a website tool designed to help review datasets stored in Dataverse. It breaks down the review process by looking at each field of the dataset individually. Reviewers can be easily invited to join the review through a provided link, and can share their feedback with others involved in the process.	
Sonia Barbosa (Dataverse), Sarah Lippincott (Dryad), Eric Olson (OSF), Ida Sim (Vivli)	Best practices for sharing data in a generalist repository: Metadata, data preparation, and reporting	This webinar will introduce best practices for sharing NIH-funded data in generalist repositories including tips and guidance for generating high quality metadata to describe your data, preparing data files and documentation for sharing, considerations for data licensing and privacy, and reporting on open data and metrics.	97RW26VsTtg
Ana Van Gulick (Figshare), Julie Goldman (Harvard Library), Rebecca Li (Vivli), Jessica Herzog (Dryad), Nici Pfeiffer (Open Science Framework)	How to include generalist repositories in your NIH data management and sharing plans	Learn how to include generalist repositories in data sharing plans as part of your preparation for the new NIH Data Management and Sharing Policy beginning in January 2023.	
Ana Trisovic, Philip Durbin, Oliver Bertuch	NetCDF/HDF5/geospatial kickoff meeting	"The first of weekly public meetings about the NetCDF/HDF5/geospatial project. See the <a href=""https://groups.google.com/g/dataverse-community/c/rAdXa7hVeH8/m/eEuQHOqLAQAJ"">announcement</a> of the project and the <a href=""https://docs.google.com/document/d/1M2zZ6mN1QngYpRzGomb5R6fk9ePwG5BPgD65leseow4/edit?usp=sharing"">notes</a> for this initial meeting. All are welcome to join <a href=""https://calendar.google.com/calendar/embed?src=c_udn4tonm401kgjjre4jl4ja0cs%40group.calendar.google.com&ctz=America%2FNew_York"">future meetings</a>."	
Sonia Barbosa	Meet the GREI Generalist Repositories	A panel discussion with the 7 generalist repositories participating in the NIH Generalist Repository Ecosystem Initiative (GREI). We learned about common features and capabilities across repositories as well as repositories that support specific use cases.	JXaKr1B8lvw
Sonia Barbosa	Introduction to Generalist Repositories for NIH Data Sharing	Learn what a generalist repository is, including key repository features and data sharing use cases for generalist repositories. Find out how generalist repositories fit into the NIH data sharing landscape and the new NIH Data Management and Sharing Policy.	prywwu1Bzww
Philip Durbin	Demo of using Globus to upload files to Dataverse 	Support for Globus is currently being tested. Upload is working, as shown in this demo.	
Eryk Kulikowski, Dieuwertje Bloemen	Demo of creating datasets with incomplete required metadata fields	KU Leuven RDR has code ready to resolve https://github.com/IQSS/dataverse/issues/8822	
Gustavo Durand	Introduction to the Dataverse Software (in Spanish)	Given at the launch event for Repositorio de Datos AcadÃ©micos RDA-UNR.	z2Fzjl5o6KA
Jim Myers	Experimenting with geospatial indexing	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Kevin Worthington	Geospatial Data Support in Institutional Repositories	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Fu Xiaokang	Dataverse Enables Effective Sharing of COVID-19 Data	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Bert Spaan	Allmaps: curating, georeferencing and exploring for IIIF maps	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Kaitlin Newson	GeoJSON Preview	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Kevin Worthington	Geospatial session introduction	Given at the Geospatial session at the 2022 Dataverse Community Meeting.	EACJJaV3O1c
Jim Myers	There and Back Again: Recent Updates to Dataverseâs BagIt-based Archiving Capabilities	Given at the Preservation session at the 2022 Dataverse Community Meeting.	qY3ZUwLqL8Y
Tiago Braga, Tatiana Canelhas Pignataro	HipÃ¡tia: a model to implement trusted archival digital repositories	Given at the Preservation session at the 2022 Dataverse Community Meeting.	qY3ZUwLqL8Y
Grant Hurley	Fixity in the Cloud: Preservation Planning for Scholars Portal Dataverse	Given at the Preservation session at the 2022 Dataverse Community Meeting.	qY3ZUwLqL8Y
Dorothea Iglezaki	Metadata2Dataverse demo	Given at the Metadata session at the 2022 Dataverse Community Meeting.	
Dorothea Iglezaki	Metadata2Dataverse	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Jan Range	EasyDataverse: Generation of a User-friendly Python Interface to a Dataverse Installation	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Eugene Barsky, Paul Lesack	Dryad2Dataverse	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
John Huck, Kaitlin Newson	One to Beam Up: Migrating a Dataverse Repository to a Shared Installation	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Oliver Bertuch	HERMES + Dataverse - are we ready for research software?	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Slava Tykhonov	Flexible Metadata Schemes Support for Dataverse	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Wim Hugo	Where Does Metadata End, and the Graph Begin?	Given at the Metadata session at the 2022 Dataverse Community Meeting.	eeCMN_5Nj_0
Andrew Woods	Harvard Data Commons	Through the Harvard Data Commons project, weâve developed a Confederation of Open Access Repositories (COAR) Notify/Linked Data Notification-based mechanism for these repositories to inform each other of new materials potentially related to their holdings, allowing administrators to easily create back-links as appropriate.	S6tbrqOU8QM
Mahmood Shad	FAIR Computational Workflow Support in Dataverse	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Wim Hugo	Licences and Automation	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Kathryn Claypool	Using Metadata to Catalog: When Protected Data Canât Be Stored in Dataverse	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Ceilyn Boyd, Katie Mika	Curating Large Library Collections in the Harvard Dataverse Repository	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Saadiah Ghazali	WorldFish Dataverse Performance	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Christina Chan-Park, Laura Sare, Laura Waugh	Getting to Know You: Results of the Texas Data Repository User Survey	Given at the Curation and/or Workflows session at the 2022 Dataverse Community Meeting.	4b-1jwxKb9A
Marcus Gaertner	XSample â Excerpt Generation via External Tool	Given at the Tools/Curation/Metadata session at the 2022 Dataverse Community Meeting.	aIC_cfkWgZk
Maria Praetzelli, Julie Goldman	FAIRification of Data through Passage of Research Data and Metadata between DMPTool, RSpace and Dataverse	Given at the Tools/Curation/Metadata session at the 2022 Dataverse Community Meeting.	aIC_cfkWgZk
Sebastian Karcher	Enhancing Dataverse for Qualitative Data: New Previewers and External Tools	Given at the Tools/Curation/Metadata session at the 2022 Dataverse Community Meeting.	aIC_cfkWgZk
Sebastian Karcher	Introducing dvcurator-python	Given at the Tools/Curation/Metadata session at the 2022 Dataverse Community Meeting.	aIC_cfkWgZk
Matthew Dunlap	Confirmable Reproducible Research Environment - CORE2	Given at the Tools/Curation/Metadata session at the 2022 Dataverse Community Meeting.	aIC_cfkWgZk
Sonia Barbosa	The Dataverse Project for Managing and Sharing Your Research Data		sLoOrSMHK4Y
Katie Mika	Research Data Publishing Ethics - Outputs from FORCE11 & COPE Working Group		sLoOrSMHK4Y
Jon Crabtree, Philipp Conzett, Jim Myers	Updates from the Global Dataverse Community Consortium	Financial updates, ongoing projects, GDCC website, Governance and Advisory Board, Dataverse Community Survey 2022	sLoOrSMHK4Y
Ana Trisovic	Dataverse Integration With GitHub via a GitHub Action	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Jim Myers	Adding Lots of Zeros to the Size of Datafiles	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Stefan Kasberger	Doing tests, data migrations and other API stuff with the help of pyDataverse	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Yves Rozenholc, Slava Tykhonov	The COVID-19 Museum... a use case for the Dataverse community	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Dan Willoughby	Using an Alternative to S3 - Connecting Dataverse to Storj	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Ines Schmahl, Florian Rhiem	From Lab Notebook to Publication - A Lighthouse Workflow for Research Data	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Baptiste Rouxel	Creating a Customizable Open Source Dataverse Widget for Website Integration	Given at the Integrations/Tools session at the 2022 Dataverse Community Meeting.	3ek7F_Dxcjk
Philipp Conzett, Adil Hasan	Building a Research Data Archive â What Flavour Should It Be?	Given at the Software session at the 2022 Dataverse Community Meeting.	-Re_elg67e8
Ellen Kraffmiller, Raman Prasad, Ethan Cowan	DP Creator & Dataverse: Integrating differential privacy	Given at the Software session at the 2022 Dataverse Community Meeting.	-Re_elg67e8
Esther DzalÃ© Yeumo, Thomas Jouneau	Towards a National Federated Data Space	Given at the Software session at the 2022 Dataverse Community Meeting.	-Re_elg67e8
Zacarias Benta	Developing a Distributed and Fault Tolerant Dataverse Architecture	Given at the Software session at the 2022 Dataverse Community Meeting.	-Re_elg67e8
Slava Tykhonov, Marion Wittenberg, Wilko Steinhoff	Archive in a Box for Dataverse: Building Distributed Data Network with shared services	Given at the Software session at the 2022 Dataverse Community Meeting.	-Re_elg67e8
Steven McEachern	Indigenous Data and Infrastructure Services	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Jane Anderson	Keynote: Local Contexts - traditional knowledge labels & notices	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Melissa Renee Korf, Julie Goldman	NIH/GREI: DMP/RDM Updates	The Dataverse Project at IQSS is joining the NIH Office of Data Science Strategy (ODSS) and five other generalist repositories in launching the Generalist Repository Ecosystem Initiative (GREI) with the intention of supplementing domain-specific repositories in support of the NIH biomedical data ecosystem for data sharing.	YghUP5mMwMU
Sarah Giesbrecht, Anatsiisinsski (Chyloe Healy)	Indigenous Data Management: Indigenous Sovereignty in Action	The Indigenous Data Management: Indigenous Sovereignty in Action project is intended to bring together experts in Indigenous data and information management to share their knowledge through a series of webinars and compile this information into an online toolkit.	YghUP5mMwMU
Aapooyaki Bonnie Healy	Keynote for the 2022 Dataverse Community Meeting	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Gary King	Welcome to the 2022 Dataverse Community Meeting	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Gustavo Durand	Dataverse Software - New Features and Future Plans	Given at the Plenary session at the 2022 Dataverse Community Meeting.	YghUP5mMwMU
Dataverse Community	#Dataverse2022 Community Update Video 	Updates from Dataverse installations around the world. Given at the 2022 Dataverse Community Meeting.	dyCPbvFy63g
Julie Goldman, Danny Brooke	Dataverse, DMPTool, RSpace, and Harvard Data Commons	Given at the Force11 Community Call.	BN5HKGYiJCg
Jim Myers	Multiple licenses demo	"The password is ""community2022!"" A demo of the multiple license feature under development at https://github.com/IQSS/dataverse/pull/7920"	
